Dia,Accion,N Titulos,Precio,Comision,Total,Symbol
2024-09-10,DANHOS 13,40,19.98,1.99,799.2,MX
2024-09-03,FNOVA 17,10,25.19,0.62,251.9,MX
2024-09-03,FMTY 14,20,10.27,0.51,205.4,MX
2024-09-03,FIBRAMQ 12,2,30.33,0.15,60.66,MX
2024-09-03,FCFE 18,11,25.15,0.69,276.65,MX
2024-09-03,DANHOS 13,28,19.99,1.39,559.72,MX
2024-08-27,FNOVA 17,10,24.98,0.62,249.8,MX
2024-08-27,FCFE 18,11,25.22,0.69,277.42,MX
2024-08-27,DANHOS 13,27,20.7,1.39,558.9,MX
2024-08-20,FNOVA 17,10,25.25,0.63,252.5,MX
2024-08-20,FMTY 14,9,10.86,0.24,97.74,MX
2024-08-20,FCFE 18,11,25.45,0.69,279.95,MX
2024-08-20,DANHOS 13,27,21.13,1.42,570.51,MX
2024-08-13,FNOVA 17,10,25.41,0.63,254.1,MX
2024-08-13,FIBRAMQ 12,21,31.8,1.66,667.8,MX
2024-08-13,FCFE 18,11,25.3,0.69,278.3,MX
2024-08-13,DANHOS 13,27,20.88,1.4,563.76,MX
2024-08-06,FNOVA 17,10,25.6,0.64,256,MX
2024-08-06,FMTY 14,4,9.96,0.09,39.84,MX
2024-08-06,FCFE 18,12,25,0.75,300,MX
2024-08-06,DANHOS 13,29,20.23,1.46,586.67,MX
2024-07-30,FNOVA 17,10,25.75,0.64,257.5,MX
2024-07-30,FIBRAMQ 12,7,31.59,0.55,221.13,MX
2024-07-30,FCFE 18,11,25.4,0.69,279.4,MX
2024-07-30,DANHOS 13,28,20.54,1.43,575.12,MX
2024-07-23,FNOVA 17,11,26.47,0.72,291.17,MX
2024-07-23,FCFE 18,11,25.91,0.71,285.01,MX
2024-07-23,FCFE 18,1,25.91,0.06,25.91,MX
2024-07-23,DANHOS 13,27,21.23,1.43,573.21,MX
2024-07-12,FNOVA 17,10,25.98,0.64,259.8,MX
2024-07-12,FCFE 18,11,24.97,0.68,274.67,MX
2024-07-12,DANHOS 13,27,20.86,1.4,563.22,MX
2024-07-05,FNOVA 17,10,26.08,0.65,260.8,MX
2024-07-05,FCFE 18,11,25.1,0.69,276.1,MX
2024-07-05,DANHOS 13,28,20.05,1.4,561.4,MX
2024-07-05,DANHOS 13,4,20,0.2,80,MX
2024-06-28,FNOVA 17,10,26.42,0.66,264.2,MX
2024-06-28,FIBRAMQ 12,11,30.79,0.84,338.69,MX
2024-06-28,DANHOS 13,29,19.89,1.44,576.81,MX
2024-06-21,FNOVA 17,10,26.97,0.67,269.7,MX
2024-06-21,FIBRAMQ 12,3,30.98,0.23,92.94,MX
2024-06-21,FCFE 18,11,25.54,0.7,280.94,MX
2024-06-17,FNOVA 17,10,27.26,0.68,272.6,MX
2024-06-17,FCFE 18,11,25.9,0.71,284.9,MX
2024-06-17,DANHOS 13,28,20.6,1.44,576.8,MX
2024-06-07,FNOVA 17,10,27.5,0.68,275,MX
2024-06-07,FCFE 18,10,25.99,0.64,259.9,MX
2024-06-07,DANHOS 13,27,20.83,1.4,562.41,MX
2024-06-07,DANHOS 13,3,20.83,0.15,62.49,MX
2024-05-31,FNOVA 17,10,27.99,0.69,279.9,MX
2024-05-31,FCFE 18,11,25.6,0.7,281.6,MX
2024-05-31,DANHOS 13,27,21,1.41,567,MX
2024-05-23,FNOVA 17,10,28,0.7,280,MX
2024-05-23,FNOVA 17,2,28,0.14,56,MX
2024-05-23,FCFE 18,11,26.09,0.71,286.99,MX
2024-05-23,DANHOS 13,27,20.56,1.38,555.12,MX
2024-05-15,FNOVA 17,10,28.5,0.71,285,MX
2024-05-15,FIBRAMQ 12,16,32.22,1.28,515.52,MX
2024-05-15,FCFE 18,11,26.01,0.71,286.11,MX
2024-05-15,DANHOS 13,27,20.9,1.41,564.3,MX
2024-05-06,FNOVA 17,10,28.15,0.7,281.5,MX
2024-05-06,FCFE 18,11,26.12,0.71,287.32,MX
2024-05-06,DANHOS 13,27,21.2,1.43,572.4,MX
2024-04-30,FNOVA 17,10,28.25,0.7,282.5,MX
2024-04-30,FCFE 18,11,26.1,0.71,287.1,MX
2024-04-30,DANHOS 13,28,20.62,1.44,577.36,MX
2024-04-22,FNOVA 17,11,28.57,0.78,314.27,MX
2024-04-22,FCFE 18,11,26.09,0.71,286.99,MX
2024-04-22,DANHOS 13,27,20.69,1.39,558.63,MX
2024-04-16,FNOVA 17,10,28.72,0.71,287.2,MX
2024-04-16,FCFE 18,10,26.28,0.65,262.8,MX
2024-04-16,DANHOS 13,28,20.32,1.42,568.96,MX
2024-04-09,FMTY 14,25,11.22,0.7,280.5,MX
2024-04-09,FCFE 18,10,26.64,0.66,266.4,MX
2024-04-09,DANHOS 13,28,20.51,1.43,574.28,MX
2024-04-09,DANHOS 13,2,20.51,0.1,41.02,MX
2024-04-02,FMTY 14,25,11.32,0.7,283,MX
2024-04-02,FCFE 18,10,26.57,0.66,265.7,MX
2024-04-02,DANHOS 13,28,20.29,1.42,568.12,MX
2024-03-26,FMTY 14,25,11.31,0.7,282.75,MX
2024-03-26,FIBRAMQ 12,7,32.74,0.57,229.18,MX
2024-03-26,FCFE 18,10,26.75,0.66,267.5,MX
2024-03-26,DANHOS 13,27,20.77,1.4,560.79,MX
2024-03-19,FMTY 14,25,11.21,0.7,280.25,MX
2024-03-19,FCFE 18,10,27.34,0.68,273.4,MX
2024-03-19,DANHOS 13,27,20.87,1.4,563.49,MX
2024-03-11,FMTY 14,23,12.04,0.69,276.92,MX
2024-03-11,FIBRAMQ 12,2,35.52,0.17,71.04,MX
2024-03-11,FCFE 18,10,27.34,0.68,273.4,MX
2024-03-11,DANHOS 13,28,20.43,1.43,572.04,MX
2024-03-05,FMX 23,1,25.5,0.06,25.5,MX
2024-03-05,FMX 23,1,25.5,0.06,25.5,MX
2024-03-04,FMTY 14,23,12.22,0.7,281.06,MX
2024-03-04,FIBRAMQ 12,23,34.36,1.97,790.28,MX
2024-03-04,FCFE 18,10,27.2,0.68,272,MX
2024-03-04,DANHOS 13,28,20.45,1.43,572.6,MX
2024-02-27,FIBRAMQ 12,2,34.34,0.17,68.68,MX
2024-02-27,DANHOS 13,1,20.68,0.05,20.68,MX
2024-02-26,FMTY 14,24,11.95,0.71,286.8,MX
2024-02-26,FCFE 18,10,26.79,0.66,267.9,MX
2024-02-26,DANHOS 13,28,20.65,1.44,578.2,MX
2024-02-26,DANHOS 13,2,20.64,0.1,41.28,MX
2024-02-20,FMTY 14,23,12,0.69,276,MX
2024-02-20,FCFE 18,10,26.94,0.67,269.4,MX
2024-02-20,DANHOS 13,27,20.77,1.4,560.79,MX
2024-02-13,FMTY 14,23,12.08,0.69,277.84,MX
2024-02-13,FIBRAMQ 12,2,34.98,0.17,69.96,MX
2024-02-13,FCFE 18,10,26.89,0.67,268.9,MX
2024-02-13,DANHOS 13,27,20.98,1.41,566.46,MX
2024-02-13,DANHOS 13,1,20.98,0.05,20.98,MX
2024-02-06,FMTY 14,23,12.26,0.7,281.98,MX
2024-02-06,FCFE 18,10,26.83,0.67,268.3,MX
2024-02-06,DANHOS 13,27,20.9,1.41,564.3,MX
2024-01-29,FMTY 14,1,12.14,0.03,12.14,MX
2024-01-29,FIBRAMQ 12,2,32.99,0.16,65.98,MX
2024-01-29,DANHOS 13,2,21,0.1,42,MX
2024-01-23,FMTY 14,23,12.1,0.69,278.3,MX
2024-01-23,FMTY 14,1,12.1,0.03,12.1,MX
2024-01-23,FCFE 18,10,26.7,0.66,267,MX
2024-01-23,DANHOS 13,28,21.13,1.47,591.64,MX
2024-01-23,DANHOS 13,1,21.13,0.05,21.13,MX
2024-01-17,FMTY 14,24,12.05,0.72,289.2,MX
2024-01-17,FCFE 18,10,26.75,0.66,267.5,MX
2024-01-17,DANHOS 13,26,21.67,1.4,563.42,MX
2024-01-05,FMTY 14,23,12.1,0.69,278.3,MX
2024-01-05,FMTY 14,1,12.08,0.03,12.08,MX
2024-01-05,FCFE 18,10,26.53,0.66,265.3,MX
2024-01-05,DANHOS 13,27,21.14,1.42,570.78,MX
2024-01-05,DANHOS 13,3,21.14,0.15,63.42,MX
2023-12-29,FMTY 14,23,12.26,0.7,281.98,MX
2023-12-29,FCFE 18,10,26.57,0.66,265.7,MX
2023-12-29,DANHOS 13,28,21.25,1.48,595,MX
2023-12-29,DANHOS 13,1,21.25,0.05,21.25,MX
2023-12-27,FMTY 14,1,12.02,0.03,12.02,MX
2023-12-27,DANHOS 13,7,21.24,0.37,148.68,MX
2023-12-21,FMTY 14,24,11.67,0.7,280.08,MX
2023-12-21,FCFE 18,10,27.64,0.69,276.4,MX
2023-12-21,DANHOS 13,28,20.49,1.43,573.72,MX
2023-12-21,DANHOS 13,1,20.49,0.05,20.49,MX
2023-12-15,FIBRAMQ 12,25,32.12,2,803,MX
2023-12-15,DANHOS 13,17,19.76,0.83,335.92,MX
2023-12-07,FIBRAMQ 12,36,31.11,2.79,1119.96,MX
2023-12-07,DANHOS 13,1,19.59,0.04,19.59,MX
2023-11-29,FIBRAMQ 12,15,30.73,1.15,460.95,MX
2023-11-29,FCFE 18,25,27.63,1.72,690.75,MX
2023-11-28,FMTY 14,2,10.89,0.05,21.78,MX
2023-11-28,FIBRAMQ 12,2,30.52,0.15,61.04,MX
2023-11-24,FINN 13,1,5.28,0.01,5.28,MX
2023-11-21,FMTY 14,42,10.9,1.14,457.8,MX
2023-11-21,FCFE 18,4,27.13,0.27,108.52,MX
2023-11-21,DANHOS 13,29,19.72,1.42,571.88,MX
2023-11-21,DANHOS 13,1,19.72,0.04,19.72,MX
2023-11-15,FMTY 14,43,10.49,1.12,451.07,MX
2023-11-15,FCFE 18,4,27,0.27,108,MX
2023-11-15,DANHOS 13,29,19.8,1.43,574.2,MX
2023-11-07,FIBRAMQ 12,1,29.3,0.07,29.3,MX
2023-11-06,FMTY 14,45,10.14,1.14,456.3,MX
2023-11-06,FIBRAMQ 12,10,29.39,0.73,293.9,MX
2023-11-06,FCFE 18,4,26.93,0.26,107.72,MX
2023-11-06,DANHOS 13,28,20.08,1.4,562.24,MX
2023-11-03,FMTY 14,43,10.59,1.13,455.37,MX
2023-11-03,FCFE 18,4,26.8,0.26,107.2,MX
2023-11-03,DANHOS 13,28,20.5,1.43,574,MX
2023-10-27,FMTY 14,1,10.48,0.02,10.48,MX
2023-10-27,FIBRAMQ 12,2,27.69,0.13,55.38,MX
2023-10-25,FMTY 14,44,10.44,1.14,459.36,MX
2023-10-25,FCFE 18,4,26.5,0.26,106,MX
2023-10-25,DANHOS 13,29,19.59,1.42,568.11,MX
2023-10-25,DANHOS 13,3,19.59,0.14,58.77,MX
2023-10-16,FMTY 14,43,10.6,1.13,455.8,MX
2023-10-16,FCFE 18,4,26.7,0.26,106.8,MX
2023-10-16,DANHOS 13,26,20.44,1.32,531.44,MX
2023-10-09,FMX 23,1,24.1,0.06,24.1,MX
2023-10-09,FMX 23,1,24,0.06,24,MX
2023-10-05,FMTY 14,43,10.8,1.16,464.4,MX
2023-10-05,FMTY 14,1,10.8,0.02,10.8,MX
2023-10-05,FIBRAMQ 12,8,28.97,0.57,231.76,MX
2023-10-05,FCFE 18,4,26.73,0.26,106.92,MX
2023-10-05,DANHOS 13,30,19.5,1.46,585,MX
2023-09-29,FMTY 14,42,10.84,1.13,455.28,MX
2023-09-29,FCFE 18,4,26.5,0.26,106,MX
2023-09-29,DANHOS 13,29,19.83,1.43,575.07,MX
2023-09-27,FIBRAMQ 12,3,30.56,0.22,91.68,MX
2023-09-27,DANHOS 13,2,19.59,0.09,39.18,MX
2023-09-19,FMTY 14,42,10.9,1.14,457.8,MX
2023-09-19,FCFE 18,4,26.74,0.26,106.96,MX
2023-09-19,DANHOS 13,29,19.9,1.44,577.1,MX
2023-09-19,DANHOS 13,1,19.85,0.04,19.85,MX
2023-09-15,FCFE 18,4,27.2,0.27,108.8,MX
2026-01-01,FINN 13,200,5.825650,0,1165.13,MX
2026-01-01,DANHOS 13,505,22.84271960396,0,11535.57,MX
2026-01-01,FMTY 14,1114,11.86664120287,0,13219.44,MX
2026-01-01,FCFE 18,91,28.39586593407,0,2584.02,MX
2026-01-01,FIBRAMQ 12,14,39.38181428571,0,551.35,MX
